,2020,2021,2022,2023,2024
127,0.497,0.944,0.666,0.935,0.812
128,0.485,0.946,0.668,0.960,0.815
129,0.477,0.947,0.686,0.978,0.815
130,0.465,0.949,0.700,0.988,0.816
131,0.454,0.945,0.723,0.992,0.817
132,0.440,0.950,0.736,0.997,0.818
133,0.427,0.971,0.740,0.997,0.825
134,0.412,0.980,0.738,0.992,0.829
135,0.396,0.989,0.745,1.000,0.842
136,0.385,1.003,0.751,1.009,0.855
137,0.372,1.014,0.753,1.004,0.856
138,0.364,1.025,0.752,0.997,0.849
139,0.352,1.028,0.753,0.986,0.846
140,0.342,1.033,0.745,0.984,0.839
141,0.334,1.037,0.742,0.975,0.839
142,0.326,1.029,0.736,0.963,0.838
143,0.324,1.032,0.733,0.948,0.842
144,0.320,1.027,0.727,0.948,0.844
145,0.317,1.024,0.714,0.945,0.845
146,0.318,1.011,0.696,0.942,0.851
147,0.318,1.002,0.676,0.929,0.850
148,0.326,0.990,0.672,0.932,0.841
149,0.326,0.981,0.668,0.926,0.831
150,0.332,0.968,0.662,0.923,0.820
151,0.335,0.964,0.649,0.915,0.806
152,0.338,0.949,0.652,0.899,0.797
153,0.341,0.933,0.664,0.900,0.779
154,0.350,0.911,0.673,0.888,0.762
155,0.363,0.895,0.678,0.881,0.745
156,0.368,0.872,0.685,0.870,0.727
157,0.377,0.850,0.683,0.857,0.719
158,0.387,0.835,0.681,0.849,0.707
159,0.397,0.817,0.677,0.848,0.708
160,0.401,0.794,0.682,0.842,0.708
161,0.405,0.779,0.692,0.839,0.704
162,0.407,0.763,0.701,0.832,0.708
163,0.412,0.746,0.715,0.833,0.726
164,0.426,0.731,0.727,0.835,0.729
165,0.437,0.721,0.734,0.832,0.730
166,0.451,0.704,0.752,0.821,0.733
167,0.464,0.696,0.776,0.810,0.733
168,0.470,0.692,0.786,0.798,0.735
169,0.471,0.685,0.792,0.797,0.738
170,0.478,0.678,0.805,0.785,0.746
171,0.478,0.677,0.825,0.773,0.749
172,0.484,0.668,0.841,0.766,0.753
173,0.490,0.660,0.859,0.767,0.748
174,0.500,0.653,0.879,0.763,0.751
175,0.505,0.640,0.890,0.767,0.750
176,0.518,0.635,0.900,0.772,0.745
177,0.528,0.623,0.904,0.782,0.744
178,0.534,0.608,0.909,0.786,0.739
179,0.537,0.595,0.913,0.787,0.732
180,0.545,0.584,0.931,0.791,0.723
181,0.556,0.586,0.932,0.807,0.727
182,0.561,0.579,0.930,0.813,0.730
183,0.567,0.567,0.924,0.822,0.728
184,0.565,0.564,0.915,0.830,0.737
185,0.573,0.566,0.908,0.834,0.740
186,0.575,0.560,0.897,0.828,0.739
187,0.582,0.555,0.884,0.822,0.740
188,0.584,0.569,0.868,0.815,0.738
189,0.586,0.583,0.856,0.822,0.743
190,0.599,0.609,0.841,0.832,0.752
191,0.612,0.639,0.829,0.845,0.749
192,0.614,0.666,0.815,0.856,0.750
193,0.629,0.681,0.799,0.860,0.752
194,0.639,0.706,0.782,0.866,0.755
195,0.644,0.724,0.780,0.862,0.758
196,0.652,0.732,0.776,0.856,0.761
197,0.652,0.745,0.783,0.843,0.770
198,0.649,0.753,0.787,0.836,0.776
199,0.641,0.752,0.787,0.836,0.787
200,0.639,0.763,0.783,0.847,0.787
201,0.630,0.768,0.773,0.843,0.784
202,0.627,0.775,0.763,0.833,0.779
203,0.620,0.784,0.762,0.827,0.777
204,0.622,0.788,0.756,0.814,0.766
205,0.625,0.795,0.748,0.795,0.756
206,0.620,0.808,0.739,0.783,0.758
207,0.610,0.826,0.739,0.785,0.753
208,0.603,0.842,0.738,0.791,0.742
209,0.612,0.845,0.744,0.785,0.744
210,0.616,0.853,0.739,0.784,0.745
211,0.616,0.861,0.729,0.774,0.737
212,0.610,0.887,0.738,0.769,0.734
213,0.599,0.907,0.735,0.789,0.741
214,0.600,0.913,0.735,0.796,0.755
215,0.595,0.916,0.746,0.800,0.766
216,0.586,0.916,0.750,0.800,0.780
217,0.586,0.919,0.750,0.804,0.796
218,0.596,0.922,0.743,0.819,0.810
219,0.602,0.920,0.731,0.820,0.817
220,0.607,0.910,0.715,0.819,0.835
221,0.605,0.899,0.695,0.821,0.848
222,0.601,0.904,0.673,0.819,0.854
223,0.596,0.906,0.653,0.826,0.870
224,0.593,0.904,0.634,0.826,0.873
225,0.591,0.904,0.626,0.823,0.872
226,0.589,0.899,0.624,0.823,0.868
227,0.592,0.886,0.629,0.813,0.875
228,0.593,0.873,0.633,0.803,0.870
229,0.595,0.860,0.643,0.803,0.871
230,0.600,0.851,0.648,0.803,0.862
231,0.607,0.834,0.650,0.799,0.851
232,0.613,0.811,0.645,0.793,0.834
233,0.614,0.791,0.636,0.785,0.822
234,0.631,0.784,0.638,0.780,0.811
235,0.638,0.772,0.646,0.773,0.797
236,0.648,0.754,0.649,0.759,0.787
237,0.659,0.732,0.654,0.756,0.779
238,0.665,0.713,0.656,0.760,0.762
239,0.670,0.695,0.665,0.753,0.751
240,0.685,0.684,0.665,0.740,0.738
241,0.698,0.666,0.668,0.745,0.733
242,0.704,0.651,0.668,0.748,0.728
243,0.703,0.643,0.671,0.763,0.716
244,0.699,0.645,0.671,0.764,0.714
245,0.694,0.637,0.674,0.769,0.712
246,0.693,0.637,0.678,0.775,0.711
247,0.690,0.652,0.678,0.777,0.716
248,0.691,0.665,0.671,0.787,0.721
249,0.690,0.668,0.665,0.791,0.717
250,0.686,0.671,0.663,0.797,0.707
251,0.682,0.673,0.662,0.798,0.731
252,0.671,0.667,0.669,0.807,0.751
253,0.659,0.664,0.675,0.815,0.762
254,0.643,0.660,0.682,0.823,0.764
255,0.624,0.661,0.689,0.832,0.774
256,0.609,0.660,0.702,0.840,0.783
257,0.597,0.652,0.713,0.848,0.791
258,0.583,0.645,0.714,0.856,0.798
259,0.582,0.645,0.724,0.864,0.805
260,0.576,0.642,0.733,0.871,0.807
261,0.568,0.644,0.742,0.879,0.806
262,0.562,0.655,0.746,0.875,0.811
263,0.558,0.661,0.747,0.880,0.805
264,0.548,0.664,0.745,0.890,0.807
265,0.535,0.672,0.741,0.892,0.799
266,0.530,0.676,0.736,0.896,0.794
267,0.533,0.672,0.728,0.894,0.791
268,0.531,0.664,0.734,0.889,0.793
269,0.528,0.657,0.733,0.877,0.790
270,0.523,0.662,0.725,0.858,0.793
271,0.521,0.674,0.716,0.835,0.785
272,0.513,0.692,0.707,0.836,0.791
273,0.509,0.714,0.701,0.828,0.789
274,0.507,0.740,0.698,0.817,0.794
275,0.499,0.764,0.696,0.811,0.802
276,0.489,0.775,0.697,0.806,0.804
277,0.479,0.801,0.703,0.793,0.797
278,0.466,0.829,0.704,0.780,0.794
279,0.458,0.848,0.707,0.778,0.797
280,0.445,0.874,0.702,0.786,0.794
281,0.434,0.890,0.706,0.787,0.784
282,0.420,0.895,0.710,0.785,0.769
283,0.408,0.909,0.710,0.781,0.764
284,0.397,0.928,0.708,0.769,0.749
285,0.391,0.938,0.719,0.775,0.764
286,0.383,0.942,0.722,0.784,0.771
287,0.380,0.949,0.718,0.792,0.782
288,0.372,0.955,0.718,0.806,0.786
289,0.366,0.956,0.709,0.828,0.782
290,0.356,0.958,0.706,0.836,0.772
291,0.356,0.955,0.696,0.856,0.757
292,0.353,0.949,0.680,0.867,0.748
293,0.351,0.940,0.667,0.900,0.736
294,0.349,0.928,0.658,0.929,0.728
295,0.354,0.933,0.667,0.948,0.718
296,0.359,0.952,0.668,0.960,0.711
297,0.367,0.971,0.666,0.961,0.702
298,0.372,0.979,0.668,0.955,0.705
299,0.382,1.006,0.666,0.953,0.712
300,0.393,1.031,0.683,0.951,0.717
301,0.397,1.051,0.690,0.944,0.718
302,0.405,1.068,0.694,0.945,0.721
303,0.420,1.083,0.695,0.934,0.720
304,0.434,1.090,0.699,0.916,0.717
305,0.447,1.092,0.709,0.904,0.731
306,0.456,1.089,0.713,0.894,0.732
307,0.463,1.088,0.715,0.891,0.730
308,0.468,1.104,0.709,0.882,0.731
309,0.468,1.102,0.703,0.871,0.724
310,0.485,1.090,0.696,0.858,0.726
311,0.490,1.077,0.693,0.848,0.723
312,0.501,1.055,0.696,0.847,0.733
313,0.510,1.052,0.700,0.840,0.739
314,0.516,1.045,0.704,0.830,0.755
315,0.522,1.034,0.714,0.814,0.776
316,0.536,1.013,0.737,0.799,0.783
317,0.550,0.993,0.750,0.789,0.797
318,0.565,0.983,0.773,0.771,0.803
319,0.581,0.968,0.781,0.759,0.810
320,0.602,0.951,0.791,0.757,0.827
321,0.614,0.945,0.796,0.750,0.829
322,0.626,0.933,0.793,0.736,0.834
323,0.632,0.919,0.784,0.729,0.833
324,0.636,0.921,0.774,0.730,0.830
325,0.632,0.916,0.774,0.732,0.828
326,0.624,0.902,0.768,0.735,0.822
327,0.616,0.911,0.755,0.740,0.828
328,0.606,0.911,0.762,0.752,0.835
329,0.599,0.913,0.756,0.757,0.830
330,0.585,0.905,0.748,0.759,0.834
331,0.579,0.907,0.734,0.753,0.845
332,0.570,0.898,0.726,0.759,0.843
333,0.560,0.895,0.725,0.753,0.843
334,0.552,0.893,0.725,0.748,0.848
335,0.553,0.882,0.725,0.762,0.846
336,0.567,0.906,0.726,0.773,0.837
337,0.568,0.915,0.719,0.772,0.826
338,0.575,0.913,0.722,0.781,0.828
339,0.580,0.921,0.729,0.784,0.823
340,0.585,0.952,0.730,0.795,0.815
341,0.593,0.979,0.729,0.815,0.810
342,0.593,1.001,0.721,0.831,0.801
343,0.588,1.015,0.713,0.846,0.795
344,0.583,1.017,0.704,0.859,0.804
345,0.583,1.010,0.709,0.883,0.800
346,0.583,1.003,0.707,0.901,0.789
347,0.583,0.993,0.718,0.906,0.782
348,0.588,0.993,0.722,0.914,0.768
349,0.584,1.003,0.727,0.916,0.754
350,0.579,0.997,0.743,0.909,0.735
351,0.576,0.989,0.755,0.906,0.717
352,0.571,0.991,0.762,0.905,0.699
353,0.560,0.985,0.765,0.909,0.677
354,0.561,0.982,0.760,0.901,0.681
355,0.557,0.968,0.760,0.913,0.680
356,0.547,0.953,0.756,0.920,0.671
357,0.542,0.938,0.745,0.915,0.668
358,0.538,0.927,0.730,0.903,0.661
359,0.539,0.930,0.720,0.896,0.659
360,0.539,0.925,0.709,0.896,0.663
361,0.537,0.916,0.696,0.895,0.667
362,0.533,0.900,0.678,0.884,0.667
363,0.531,0.879,0.667,0.872,0.670
364,0.524,0.853,0.649,0.859,0.679
365,0.523,0.830,0.638,0.845,0.697
366,0.523,0.808,0.641,0.835,0.716
367,0.524,0.787,0.642,0.832,0.722
368,0.522,0.772,0.650,0.830,0.727
369,0.526,0.750,0.647,0.834,0.733
370,0.525,0.724,0.639,0.838,0.745
371,0.527,0.702,0.627,0.836,0.745
372,0.525,0.688,0.622,0.848,0.749
373,0.526,0.679,0.615,0.867,0.758
374,0.528,0.679,0.613,0.876,0.756
375,0.523,0.682,0.608,0.886,0.752
376,0.518,0.681,0.613,0.901,0.756
377,0.519,0.684,0.608,0.908,0.754
378,0.524,0.685,0.598,0.911,0.750
379,0.531,0.696,0.595,0.920,0.743
380,0.541,0.708,0.600,0.933,0.735
381,0.546,0.721,0.605,0.933,0.739
382,0.548,0.741,0.622,0.930,0.742
383,0.551,0.765,0.646,0.929,0.749
384,0.555,0.775,0.661,0.924,0.750
385,0.562,0.789,0.671,0.915,0.757
386,0.568,0.816,0.674,0.904,0.763
387,0.574,0.833,0.691,0.897,0.774
388,0.573,0.844,0.700,0.880,0.778
389,0.573,0.858,0.715,0.864,0.783
390,0.571,0.871,0.729,0.847,0.788
391,0.571,0.890,0.732,0.829,0.783
392,0.575,0.901,0.738,0.810,0.778
393,0.578,0.918,0.735,0.802,0.775
394,0.584,0.933,0.732,0.795,0.773
395,0.592,0.947,0.736,0.806,0.763
396,0.598,0.965,0.735,0.807,0.757
397,0.604,0.980,0.731,0.805,0.749
398,0.613,0.994,0.726,0.801,0.738
399,0.619,1.006,0.718,0.805,0.731
400,0.618,1.005,0.705,0.815,0.726
401,0.630,1.013,0.687,0.834,0.718
402,0.641,1.013,0.686,0.859,0.704
403,0.656,1.015,0.684,0.874,0.686
404,0.663,1.035,0.679,0.878,0.669
405,0.670,1.035,0.667,0.885,0.653
406,0.673,1.038,0.656,0.903,0.656
407,0.679,1.029,0.650,0.917,0.648
408,0.676,1.025,0.642,0.934,0.644
409,0.682,1.021,0.638,0.948,0.633
410,0.681,1.019,0.627,0.961,0.622
411,0.685,1.022,0.626,0.971,0.627
412,0.683,1.012,0.627,0.970,0.634
413,0.682,1.007,0.630,0.961,0.642
414,0.673,1.002,0.625,0.961,0.649
415,0.664,0.993,0.615,0.950,0.658
416,0.660,0.981,0.606,0.937,0.657
417,0.655,0.967,0.603,0.917,0.652
418,0.647,0.969,0.593,0.908,0.647
419,0.641,0.968,0.579,0.889,0.655
420,0.632,0.962,0.582,0.875,0.671
421,0.636,0.953,0.604,0.875,0.679
422,0.640,0.942,0.621,0.862,0.683
423,0.642,0.929,0.632,0.859,0.685
424,0.650,0.921,0.639,0.856,0.690
425,0.649,0.909,0.640,0.854,0.695
426,0.642,0.913,0.640,0.842,0.701
427,0.634,0.903,0.634,0.825,0.698
428,0.622,0.916,0.639,0.831,0.689
429,0.610,0.930,0.634,0.838,0.691
430,0.597,0.947,0.634,0.850,0.697
431,0.591,0.956,0.641,0.864,0.697
432,0.578,0.959,0.648,0.871,0.695
433,0.576,0.965,0.666,0.868,0.701
434,0.570,0.976,0.680,0.874,0.701
435,0.558,0.992,0.709,0.875,0.698
436,0.551,1.010,0.721,0.877,0.694
437,0.538,1.031,0.731,0.875,0.702
438,0.526,1.041,0.742,0.870,0.713
439,0.514,1.070,0.747,0.862,0.712
440,0.516,1.084,0.755,0.853,0.729
441,0.516,1.091,0.773,0.863,0.737
442,0.517,1.093,0.781,0.874,0.750
443,0.526,1.096,0.791,0.888,0.756
444,0.533,1.093,0.799,0.899,0.764
445,0.535,1.085,0.808,0.915,0.781
446,0.543,1.092,0.806,0.927,0.789
447,0.547,1.094,0.797,0.943,0.797
448,0.548,1.096,0.793,0.956,0.795
449,0.557,1.090,0.800,0.967,0.797
450,0.558,1.087,0.800,0.977,0.794
451,0.553,1.083,0.796,0.996,0.789
452,0.549,1.074,0.794,1.005,0.791
453,0.543,1.079,0.789,1.008,0.801
454,0.533,1.081,0.781,1.006,0.803
455,0.527,1.093,0.771,0.995,0.806
456,0.515,1.094,0.765,0.988,0.800
457,0.512,1.084,0.751,0.976,0.811
458,0.509,1.079,0.733,0.968,0.827
459,0.500,1.074,0.710,0.955,0.843
460,0.491,1.058,0.691,0.934,0.851
461,0.483,1.041,0.667,0.919,0.854
462,0.477,1.017,0.650,0.901,0.863
463,0.471,0.999,0.638,0.882,0.874
464,0.470,0.985,0.639,0.857,0.872
465,0.471,0.973,0.644,0.838,0.864
466,0.472,0.963,0.658,0.818,0.864
467,0.474,0.955,0.665,0.793,0.872
468,0.481,0.943,0.669,0.775,0.882
469,0.481,0.923,0.666,0.777,0.893
470,0.483,0.904,0.663,0.776,0.900
471,0.486,0.891,0.659,0.777,0.907
472,0.487,0.887,0.654,0.773,0.907
473,0.494,0.878,0.643,0.768,0.903
474,0.493,0.872,0.638,0.772,0.896
475,0.495,0.887,0.642,0.770,0.886
476,0.501,0.903,0.640,0.783,0.883
477,0.507,0.915,0.637,0.793,0.869
478,0.506,0.916,0.633,0.803,0.855
479,0.511,0.920,0.633,0.813,0.844
480,0.513,0.926,0.625,0.818,0.825
481,0.516,0.932,0.618,0.820,0.816
482,0.516,0.945,0.606,0.819,0.812
483,0.518,0.955,0.595,0.815,0.817
484,0.521,0.971,0.585,0.815,0.814
485,0.531,0.984,0.580,0.806,0.813
486,0.539,1.037,0.573,0.791,0.817
487,0.539,1.066,0.570,0.772,0.815
488,0.545,1.086,0.566,0.749,0.814
489,0.547,1.093,0.566,0.739,0.819
490,0.564,1.108,0.559,0.732,0.822
491,0.573,1.120,0.568,0.737,0.826
492,0.574,1.129,0.586,0.741,0.829
493,0.574,1.137,0.610,0.746,0.822
494,0.579,1.131,0.631,0.740,0.814
495,0.579,1.117,0.642,0.746,0.805
496,0.574,1.101,0.655,0.751,0.818
497,0.568,1.083,0.674,0.758,0.824
498,0.564,1.057,0.691,0.754,0.825
499,0.558,1.037,0.702,0.761,0.817
500,0.565,1.014,0.705,0.773,0.818
501,0.562,0.990,0.716,0.784,0.813
502,0.554,0.977,0.727,0.800,0.811
503,0.546,0.952,0.732,0.808,0.800
504,0.548,0.935,0.739,0.807,0.788
505,0.545,0.915,0.747,0.843,0.771
506,0.547,0.906,0.754,0.857,0.764
507,0.545,0.903,0.751,0.882,0.762
508,0.545,0.889,0.753,0.902,0.750
509,0.546,0.875,0.755,0.925,0.733
510,0.544,0.861,0.773,0.939,0.713
511,0.544,0.845,0.790,0.946,0.694
512,0.537,0.848,0.809,0.944,0.676
513,0.531,0.837,0.819,0.940,0.663
514,0.534,0.826,0.834,0.933,0.649
515,0.529,0.820,0.852,0.918,0.653
516,0.527,0.812,0.861,0.898,0.651
517,0.523,0.802,0.865,0.878,0.655
518,0.514,0.786,0.880,0.852,0.669
519,0.506,0.778,0.886,0.828,0.680
520,0.501,0.761,0.887,0.815,0.687
521,0.504,0.747,0.889,0.792,0.704
522,0.503,0.744,0.891,0.771,0.714
523,0.508,0.744,0.883,0.761,0.724
524,0.515,0.745,0.883,0.769,0.744
525,0.518,0.749,0.883,0.767,0.751
526,0.519,0.749,0.881,0.768,0.755
527,0.514,0.759,0.871,0.771,0.756
528,0.513,0.769,0.864,0.796,0.759
529,0.513,0.792,0.858,0.814,0.763
530,0.511,0.804,0.853,0.825,0.763
531,0.511,0.813,0.854,0.827,0.764
532,0.516,0.824,0.858,0.838,0.766
533,0.516,0.836,0.866,0.853,0.768
534,0.526,0.854,0.871,0.871,0.775
535,0.529,0.870,0.880,0.886,0.776
536,0.537,0.880,0.897,0.900,0.774
537,0.548,0.891,0.909,0.907,0.774
538,0.550,0.902,0.923,0.916,0.779
539,0.554,0.907,0.934,0.918,0.773
540,0.554,0.908,0.944,0.922,0.762
541,0.553,0.900,0.942,0.921,0.745
542,0.554,0.892,0.937,0.916,0.735
543,0.555,0.882,0.939,0.914,0.718
544,0.556,0.882,0.935,0.901,0.706
545,0.562,0.876,0.936,0.883,0.692
546,0.566,0.868,0.931,0.865,0.673
547,0.581,0.858,0.933,0.841,0.656
548,0.588,0.852,0.932,0.830,0.644
549,0.595,0.843,0.936,0.814,0.631
550,0.601,0.826,0.957,0.792,0.622
551,0.610,0.834,0.970,0.767,0.631
552,0.621,0.838,0.984,0.749,0.641
553,0.626,0.843,0.999,0.730,0.650
554,0.624,0.837,1.010,0.717,0.683
555,0.624,0.831,1.009,0.702,0.735
556,0.625,0.830,1.004,0.692,0.769
557,0.619,0.830,0.996,0.687,0.795
558,0.615,0.827,0.984,0.673,0.810
559,0.605,0.833,0.975,0.672,0.821
560,0.595,0.839,0.962,0.678,0.838
561,0.587,0.852,0.945,0.678,0.848
562,0.581,0.869,0.937,0.671,0.852
563,0.579,0.877,0.928,0.666,0.853
564,0.577,0.894,0.920,0.665,0.855
565,0.576,0.908,0.907,0.673,0.852
566,0.571,0.921,0.897,0.681,0.846
567,0.572,0.922,0.883,0.700,0.842
568,0.576,0.933,0.878,0.723,0.829
569,0.572,0.943,0.871,0.742,0.815
570,0.570,0.952,0.881,0.755,0.800
571,0.563,0.960,0.900,0.781,0.779
572,0.566,0.969,0.907,0.802,0.763
573,0.567,0.971,0.914,0.816,0.751
574,0.562,0.968,0.925,0.837,0.741
575,0.560,0.963,0.939,0.860,0.732
576,0.555,0.961,0.948,0.879,0.721
577,0.549,0.948,0.961,0.886,0.709
578,0.546,0.946,0.966,0.890,0.691
579,0.540,0.939,0.970,0.885,0.684
580,0.530,0.934,0.969,0.873,0.669
581,0.520,0.920,0.959,0.867,0.660
582,0.513,0.899,0.957,0.868,0.663
583,0.502,0.880,0.959,0.862,0.656
584,0.488,0.872,0.958,0.848,0.653
585,0.478,0.854,0.957,0.835,0.648
586,0.468,0.836,0.945,0.814,0.646
587,0.462,0.831,0.932,0.812,0.647
588,0.457,0.844,0.927,0.802,0.645
589,0.451,0.840,0.916,0.791,0.665
590,0.456,0.841,0.907,0.779,0.688
591,0.463,0.838,0.914,0.787,0.698
592,0.476,0.833,0.921,0.786,0.733
593,0.490,0.826,0.915,0.793,0.754
594,0.500,0.824,0.916,0.794,0.765
595,0.506,0.837,0.917,0.797,0.768
596,0.514,0.840,0.907,0.801,0.765
597,0.525,0.852,0.915,0.812,0.766
598,0.531,0.863,0.909,0.821,0.758
599,0.532,0.862,0.911,0.820,0.750
600,0.531,0.865,0.911,0.811,0.740
601,0.533,0.871,0.906,0.803,0.725
602,0.532,0.877,0.897,0.794,0.715
603,0.540,0.890,0.892,0.789,0.712
604,0.545,0.907,0.887,0.803,0.700
605,0.547,0.915,0.888,0.812,0.683
606,0.550,0.931,0.887,0.826,0.681
607,0.550,0.950,0.886,0.832,0.675
608,0.548,0.977,0.885,0.839,0.671
609,0.551,1.010,0.880,0.842,0.669
610,0.557,1.042,0.876,0.841,0.664
611,0.569,1.073,0.879,0.838,0.663
612,0.575,1.093,0.879,0.843,0.663
613,0.577,1.123,0.885,0.852,0.670
614,0.573,1.145,0.893,0.855,0.685
615,0.569,1.164,0.899,0.859,0.702
616,0.563,1.174,0.904,0.858,0.707
617,0.552,1.182,0.908,0.859,0.705
618,0.546,1.201,0.916,0.851,0.703
619,0.545,1.219,0.922,0.852,0.709
620,0.536,1.231,0.916,0.859,0.710
621,0.531,1.239,0.909,0.864,0.712
622,0.524,1.245,0.905,0.863,0.716
623,0.523,1.248,0.896,0.871,0.716
624,0.523,1.238,0.894,0.876,0.713
625,0.519,1.224,0.886,0.882,0.708
626,0.518,1.206,0.880,0.876,0.697
627,0.522,1.203,0.866,0.864,0.686
628,0.521,1.184,0.851,0.853,0.680
629,0.519,1.170,0.844,0.856,0.685
630,0.522,1.156,0.833,0.857,0.684
631,0.518,1.143,0.825,0.864,0.680
632,0.511,1.125,0.823,0.869,0.675
633,0.507,1.110,0.816,0.874,0.668
